City_ID,City,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
221,Shenkursk,62.1091,42.896,32.77,32.77,68,100,9.06,RU,overcast clouds
222,Tabou,4.423,-7.3528,83.62,83.62,76,100,9.33,CI,moderate rain
223,Sayyan,15.1718,44.3244,72.03,72.03,26,74,5.35,YE,broken clouds
224,Camacha,33.0833,-16.3333,63.82,63.82,63,20,11.5,PT,few clouds
225,Yellowknife,62.456,-114.3525,30.72,30.72,80,40,9.22,CA,scattered clouds
226,Kharovsk,59.9642,40.1912,33.46,33.46,78,100,9.4,RU,light snow
227,Hamilton,39.1834,-84.5333,40.95,47.23,67,0,6.91,US,clear sky
228,Baghdad,33.3406,44.4009,89.51,89.51,19,20,13.8,IQ,few clouds
229,Ewa Beach,21.3156,-158.0072,69.17,73.35,80,75,4.61,US,broken clouds
230,Saint George,37.1041,-113.5841,57.79,57.79,17,0,0,US,clear sky
231,Butaritari,3.0707,172.7902,81.45,81.45,80,7,18.03,KI,light rain
232,Puerto Escondido,15.85,-97.0667,83.62,83.62,54,5,2.04,MX,clear sky
233,Shimoda,34.6667,138.95,70.11,70.11,93,100,1.99,JP,light rain
234,Morondava,-20.2833,44.2833,81.14,81.14,75,57,20,MG,broken clouds
235,Berezovka,53.7214,25.4993,51.04,51.04,40,15,12.46,BY,few clouds
236,Rawson,-43.3002,-65.1023,47.64,47.64,40,69,4.65,AR,broken clouds
237,Dikson,73.5069,80.5464,24.22,24.22,90,100,31.03,RU,light snow
238,Terrace,54.5163,-128.6035,37.31,37.31,93,100,5.75,CA,overcast clouds
239,Mogadishu,2.0371,45.3438,87.67,87.67,74,75,10.36,SO,broken clouds
240,Pasni,25.2631,63.471,84.6,84.6,70,94,13.94,PK,overcast clouds
241,Lorengau,-2.0226,147.2712,82.62,82.62,81,63,11.7,PG,broken clouds
242,Vardo,70.3705,31.1107,21.18,21.18,93,100,13.8,NO,overcast clouds
243,Geraldton,-28.7667,114.6,63.01,63.01,82,100,9.22,AU,overcast clouds
244,Gigmoto,13.7796,124.39,80.26,80.26,89,100,10.8,PH,overcast clouds
245,Kintampo,8.0563,-1.7306,102.11,102.11,26,86,1.54,GH,overcast clouds
246,Port Lincoln,-34.7333,135.8667,65.52,65.52,80,100,11.65,AU,overcast clouds
247,Flagstaff,35.1981,-111.6513,37.78,53.26,28,0,5.75,US,clear sky
248,Nortelandia,-14.4547,-56.8028,86.81,86.81,48,11,7.78,BR,few clouds
249,Kruisfontein,-34.0033,24.7314,74.88,74.88,30,0,3.78,ZA,clear sky
250,Alvorada,-12.48,-49.1247,86.5,86.5,41,4,10.36,BR,clear sky
251,Airai,-8.9266,125.4092,61.38,61.38,94,51,1.3,TL,broken clouds
252,Chapais,49.7834,-74.8492,20.98,20.98,83,100,7.05,CA,light snow
253,Chara,56.9064,118.2631,25.48,25.48,57,97,1.48,RU,overcast clouds
254,Wajid,3.8093,43.2471,78.85,78.85,72,100,4.47,SO,light rain
255,Spas-Demensk,54.4122,34.0226,49.28,49.28,56,100,8.39,RU,overcast clouds
256,Olafsvik,64.8945,-23.7142,43.05,43.05,71,82,2.28,IS,broken clouds
257,Scarborough,54.2797,-0.4044,47.34,48.9,67,64,3,GB,broken clouds
258,Santa Cruz,-17.8,-63.1667,81.86,82.45,74,75,26.46,BO,broken clouds
259,Ploemeur,47.7333,-3.4333,59.95,67.62,44,0,18.41,FR,clear sky
260,Ladario,-19.0047,-57.6017,86.09,88.09,58,0,5.75,BR,clear sky
261,San Policarpo,12.1791,125.5072,81.75,81.75,84,100,15.32,PH,overcast clouds
262,Mayo,38.8876,-76.5119,50.49,54.5,46,0,14.97,US,clear sky
263,Chelmno,53.3485,18.4251,53.24,62.4,30,85,4,PL,overcast clouds
264,Kalawit,8.0667,122.5167,77.14,77.14,95,100,8.08,PH,moderate rain
265,Inverell,-29.7833,151.1167,60.12,60.15,88,98,8.01,AU,overcast clouds
266,Ancud,-41.8697,-73.8203,44.29,44.29,85,82,26.11,CL,light rain
267,Cherdyn,60.403,56.4787,40.87,40.87,99,100,2.33,RU,light rain
268,Kapustin Yar,48.5831,45.7372,82.51,82.51,29,58,16.06,RU,broken clouds
269,Hasaki,35.7333,140.8333,64.29,64.8,70,100,24.67,JP,overcast clouds
270,Clyde River,70.4692,-68.5914,-5.57,-5.57,84,40,5.75,CA,scattered clouds
271,Newport,51.5877,-2.9984,50.11,56.08,55,100,12.66,GB,overcast clouds
272,Port-Gentil,-0.7193,8.7815,82.36,82.36,74,20,16.11,GA,few clouds
273,Anori,-3.7728,-61.6442,81.03,81.03,85,100,1.14,BR,overcast clouds
274,Bilibino,68.0546,166.4372,14.74,14.74,96,100,3.8,RU,overcast clouds
275,Beringovskiy,63.05,179.3167,30.74,30.74,99,100,4.81,RU,overcast clouds
276,Verkhoyansk,67.5447,133.385,10.63,10.63,95,100,4.16,RU,overcast clouds
277,Viedma,-40.8135,-62.9967,54.77,54.77,34,0,16.24,AR,clear sky
278,Saldanha,-33.0117,17.9442,80.65,80.65,59,18,12.08,ZA,few clouds
279,Corrente,-3.7367,-43.3394,86.7,86.7,57,53,4.79,BR,broken clouds
280,Matamoros,25.5333,-103.25,66.33,66.33,65,100,2.53,MX,overcast clouds
281,Novikovo,51.1537,37.8879,57.13,57.13,55,59,10.36,RU,broken clouds
282,Mitsamiouli,-11.3847,43.2844,81.72,81.72,76,100,11.34,KM,light rain
283,Urambo,-5.0667,32.05,74.39,74.39,78,100,1.9,TZ,light rain
284,Ahuimanu,21.4447,-157.8378,68.94,73.11,87,40,4.61,US,light rain
285,Lavrentiya,65.5833,-171,9.61,9.61,97,50,5.79,RU,scattered clouds
286,Khash,28.2211,61.2158,83.8,83.8,15,45,14.52,IR,scattered clouds
287,Westport,41.1415,-73.3579,49.33,53.89,54,0,16.11,US,clear sky
288,Banihal,33.4167,75.2,65.98,65.98,50,9,1.83,IN,clear sky
289,Batetskiy,58.6461,30.3027,41.88,41.88,47,100,9.42,RU,overcast clouds
290,Saint-Francois,46.4154,3.9054,63.84,66.67,48,0,10.36,FR,clear sky
291,Shanhetun,44.7,127.2,44.28,44.28,34,100,3.98,CN,overcast clouds
292,Warmbad,-28.45,18.7333,83.61,83.61,17,14,19.86,NA,few clouds
293,San Patricio,28.017,-97.5169,66.92,74.91,69,0,11.16,US,clear sky
294,Lebu,-37.6167,-73.65,51.12,51.12,86,100,15.08,CL,overcast clouds
295,Nyandoma,61.669,40.1991,30.85,30.85,68,100,9.75,RU,overcast clouds
296,Montijo,38.7067,-8.9739,64.02,69.69,59,40,10.36,PT,scattered clouds
297,Trairi,-3.2778,-39.2689,84.33,84.33,67,100,10.65,BR,overcast clouds
298,Yar-Sale,66.8333,70.8333,29.61,29.61,78,29,16.13,RU,scattered clouds
299,Vung Tau,10.346,107.0843,84.18,84.18,78,63,10.31,VN,broken clouds
300,Fort Saint James,54.4333,-124.25,31.26,31.26,77,79,2.66,CA,broken clouds
301,Kazanskoye,55.6448,69.235,67.84,67.84,40,93,11.23,RU,overcast clouds
302,Ormara,25.2088,64.6357,84.06,84.06,77,100,12.39,PK,overcast clouds
303,Sokoni,-6.4333,39.55,84.06,84.06,72,89,12.48,TZ,overcast clouds
304,Tura,25.5198,90.2201,77.47,77.47,76,1,5.57,IN,clear sky
305,Necochea,-38.5473,-58.7368,58.12,58.12,48,0,20.07,AR,clear sky
306,Lage,51.9922,8.793,56.75,62.15,61,63,3,DE,broken clouds
307,Henties Bay,-22.116,14.2845,67.77,67.77,65,25,12.59,NA,scattered clouds
308,Maldonado,-34.6667,-54.9167,63.23,63.79,80,70,11.12,UY,broken clouds
309,Jacareacanga,-6.2222,-57.7528,87.8,87.8,56,93,3.4,BR,overcast clouds
310,Ipira,-12.1583,-39.7372,79.72,79.72,66,74,6.98,BR,broken clouds
311,La Suiza,9.8524,-83.6133,78.53,78.53,85,91,1.86,CR,overcast clouds
312,Gerash,27.6652,54.1371,89.74,89.74,13,12,13.4,IR,few clouds
